trial, progress in trial, Presented Person, Smpled-Stim, SmpledStim-Location, FalseStim, FalseStim-Location, Pressed Key, Reaction Time
1,1,w2,v1,-4,c1,4,['left'],3130
2,1,w1,c1,-4,v1,4,['left'],1012
2,2,m1,c1,4,c2,-4,['right'],1668
2,3,w2,c2,-4,c1,4,['right'],3011
3,1,w2,v1,4,c1,-4,['right'],936
3,2,w2,v1,4,v2,-4,['right'],923
3,3,m2,v2,-4,c1,4,['left'],1129
3,4,m1,c1,4,c2,-4,['right'],932
3,5,m2,c2,-4,c1,4,['left'],896
3,6,w1,v2,4,v1,-4,['right'],830
3,7,m2,v2,-4,v1,4,['left'],1029
3,8,m1,v1,4,c2,-4,['right'],877
3,9,w1,c1,-4,c2,4,['left'],1491
3,10,m2,c2,-4,v1,4,['left'],1257
3,11,m1,v1,4,c2,-4,['left'],992
4,1,w2,c2,-4,c1,4,['right'],1573
5,1,w2,v1,-4,v2,4,['left'],579
5,2,m1,v1,4,c2,-4,['right'],1125
5,3,m2,c2,4,c1,-4,['right'],986
5,4,w1,c1,-4,c2,4,['left'],1091
5,5,w2,c2,-4,v2,4,['left'],1065
5,6,m1,c1,4,v2,-4,['right'],1024
5,7,m2,v2,-4,c1,4,['left'],808
5,8,m2,v2,-4,v1,4,['left'],825
5,9,w1,c1,4,c2,-4,['right'],1258
5,10,m1,v1,4,v2,-4,['right'],825
5,11,m2,c2,4,v1,-4,['right'],898
5,12,w1,v2,4,c2,-4,['right'],951
5,13,w2,c2,4,c1,-4,['right'],2017
5,14,w1,v2,4,v1,-4,['right'],850
5,15,m1,c1,-4,c2,4,['left'],1255
5,16,w2,v1,-4,c1,4,['left'],1486
